Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_name,lat,lng,population,density,timezone,Year,Month,Day,ma_last_7d,ma_last_30d,ma_last_quarter,AQI_lag_1days,AQI_lag_7days,AQI_lag_30days,AQI_lag_365days
1980-12-31,202,Very Unhealthy,CO,23,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1980,12,31,204.0,189.73333333333332,185.7032967032967,208.0,240.0,106.0,159.0
1981-01-01,274,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,1,210.14285714285714,193.86666666666667,185.02197802197801,202.0,231.0,150.0,136.0
1981-01-02,120,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,2,204.57142857142858,193.7,183.16483516483515,274.0,159.0,125.0,133.0
1981-01-03,110,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,3,191.14285714285714,195.2,181.32967032967034,120.0,204.0,65.0,159.0
1981-01-04,118,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,4,179.42857142857142,196.4,179.6043956043956,110.0,200.0,82.0,142.0
1981-01-05,223,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,5,179.28571428571428,201.0,179.17582417582418,118.0,224.0,85.0,125.0
1981-01-06,234,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,6,183.0,205.8,178.45054945054946,223.0,208.0,90.0,105.0
1981-01-07,198,Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,7,182.42857142857142,207.73333333333332,177.35164835164835,234.0,202.0,140.0,89.0
1981-01-08,142,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,8,163.57142857142858,207.36666666666667,175.67032967032966,198.0,274.0,153.0,79.0
1981-01-09,208,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,9,176.14285714285714,206.7,174.9120879120879,142.0,120.0,228.0,68.0
1981-01-10,230,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,10,193.28571428571428,206.36666666666667,174.17582417582418,208.0,110.0,240.0,68.0
1981-01-11,108,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,11,191.85714285714286,201.63333333333333,172.87912087912088,230.0,118.0,250.0,40.0
1981-01-12,111,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,12,175.85714285714286,196.56666666666666,172.7912087912088,108.0,223.0,263.0,43.0
1981-01-13,111,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,13,158.28571428571428,192.66666666666666,172.9120879120879,111.0,234.0,228.0,49.0
1981-01-14,125,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,14,147.85714285714286,189.06666666666666,173.53846153846155,111.0,198.0,233.0,68.0
1981-01-15,140,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,15,147.57142857142858,185.56666666666666,174.2087912087912,125.0,142.0,245.0,89.0
1981-01-16,114,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,16,134.14285714285714,181.1,174.2967032967033,140.0,208.0,248.0,89.0
1981-01-17,151,Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,17,122.85714285714286,181.6,174.69230769230768,114.0,230.0,136.0,57.0
1981-01-18,140,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,18,127.42857142857143,179.6,174.93406593406593,151.0,108.0,200.0,100.0
1981-01-19,125,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,19,129.42857142857142,176.6,174.98901098901098,140.0,111.0,215.0,123.0
1981-01-20,105,Unhealthy for Sensitive Groups,NO2,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,20,128.57142857142858,172.6,174.42857142857142,125.0,111.0,225.0,138.0
1981-01-21,222,Very Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,21,142.42857142857142,173.83333333333334,175.06593406593407,105.0,125.0,185.0,116.0
1981-01-22,230,Very Unhealthy,CO,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,22,155.28571428571428,173.56666666666666,175.16483516483515,222.0,140.0,238.0,135.0
1981-01-23,79,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,23,150.28571428571428,168.2,173.46153846153845,230.0,114.0,240.0,193.0
1981-01-24,79,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,24,140.0,163.13333333333333,172.6153846153846,79.0,151.0,231.0,168.0
1981-01-25,105,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,25,135.0,161.33333333333334,173.02197802197801,79.0,140.0,159.0,79.0
1981-01-26,106,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,26,132.28571428571428,158.06666666666666,172.97802197802199,105.0,125.0,204.0,79.0
1981-01-27,99,Moderate,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,27,131.42857142857142,154.7,172.6813186813187,106.0,105.0,200.0,89.0
1981-01-28,70,Moderate,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,28,109.71428571428571,149.56666666666666,171.58241758241758,99.0,222.0,224.0,89.0
1981-01-29,90,Moderate,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,29,89.71428571428571,145.63333333333333,171.0879120879121,70.0,230.0,208.0,100.0
1981-01-30,100,Moderate,NO2,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,30,92.71428571428571,142.23333333333332,170.47252747252747,90.0,79.0,202.0,106.0
1981-01-31,82,Moderate,CO,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,1,31,93.14285714285714,135.83333333333334,168.97802197802199,100.0,79.0,274.0,115.0
1981-02-01,108,Unhealthy for Sensitive Groups,NO2,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,1,93.57142857142857,135.43333333333334,168.17582417582418,82.0,105.0,120.0,131.0
1981-02-02,133,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,2,97.42857142857143,136.2,166.85714285714286,108.0,106.0,110.0,120.0
1981-02-03,131,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,3,102.0,136.63333333333333,165.72527472527472,133.0,99.0,118.0,206.0
1981-02-04,135,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,4,111.28571428571429,133.7,165.6153846153846,131.0,70.0,223.0,170.0
1981-02-05,135,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,5,117.71428571428571,130.4,164.98901098901098,135.0,90.0,234.0,142.0
1981-02-06,116,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,6,120.0,127.66666666666667,163.98901098901098,135.0,100.0,198.0,103.0
1981-02-07,156,Unhealthy,Ozone,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,7,130.57142857142858,128.13333333333333,163.15384615384616,116.0,82.0,142.0,103.0
1981-02-08,108,Unhealthy for Sensitive Groups,NO2,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,8,130.57142857142858,124.8,161.75824175824175,156.0,108.0,208.0,158.0
1981-02-09,69,Moderate,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,9,121.42857142857143,119.43333333333334,160.30769230769232,108.0,133.0,230.0,110.0
1981-02-10,80,Moderate,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,10,114.14285714285714,118.5,160.0879120879121,69.0,131.0,108.0,118.0
1981-02-11,105,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,11,109.85714285714286,118.3,160.14285714285714,80.0,135.0,111.0,112.0
1981-02-12,114,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,12,106.85714285714286,118.4,160.1868131868132,105.0,135.0,111.0,89.0
1981-02-13,112,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,13,106.28571428571429,117.96666666666667,160.12087912087912,114.0,116.0,125.0,108.0
1981-02-14,170,Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,14,108.28571428571429,118.96666666666667,160.41758241758242,112.0,156.0,140.0,89.0
1981-02-15,114,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,15,109.14285714285714,118.96666666666667,160.63736263736263,170.0,108.0,114.0,57.0
1981-02-16,133,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,16,118.28571428571429,118.36666666666666,160.53846153846155,114.0,69.0,151.0,47.0
1981-02-17,140,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,17,126.85714285714286,118.36666666666666,160.30769230769232,133.0,80.0,140.0,47.0
1981-02-18,206,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,18,141.28571428571428,121.06666666666666,160.67032967032966,140.0,105.0,125.0,47.0
1981-02-19,228,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,19,157.57142857142858,125.16666666666667,160.73626373626374,206.0,114.0,105.0,68.0
1981-02-20,174,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,20,166.42857142857142,123.56666666666666,160.0989010989011,228.0,112.0,222.0,70.0
1981-02-21,176,Unhealthy,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,21,167.28571428571428,121.76666666666667,160.3846153846154,174.0,170.0,230.0,89.0
1981-02-22,103,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,22,165.71428571428572,122.56666666666666,159.94505494505495,176.0,114.0,79.0,103.0
1981-02-23,126,Unhealthy for Sensitive Groups,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,23,164.71428571428572,124.13333333333334,160.14285714285714,103.0,133.0,79.0,109.0
1981-02-24,100,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,24,159.0,123.96666666666667,158.98901098901098,126.0,140.0,105.0,120.0
1981-02-25,68,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,25,139.28571428571428,122.7,157.28571428571428,100.0,206.0,106.0,108.0
1981-02-26,79,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,26,118.0,122.03333333333333,155.6813186813187,68.0,228.0,99.0,116.0
1981-02-27,103,Unhealthy for Sensitive Groups,NO2,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,27,107.85714285714286,123.13333333333334,154.35164835164835,79.0,174.0,70.0,108.0
1981-02-28,89,Moderate,NO2,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,2,28,95.42857142857143,123.1,152.37362637362637,103.0,176.0,90.0,106.0
1981-03-01,65,Moderate,CO,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,1,90.0,121.93333333333334,150.8021978021978,89.0,103.0,100.0,110.0
1981-03-02,71,Moderate,CO,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,2,82.14285714285714,121.56666666666666,150.41758241758242,65.0,126.0,82.0,79.0
1981-03-03,108,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,3,83.28571428571429,121.56666666666666,149.95604395604394,71.0,100.0,108.0,68.0
1981-03-04,68,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,4,83.28571428571429,119.4,149.32967032967034,108.0,68.0,133.0,101.0
1981-03-05,56,Moderate,CO,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,5,80.0,116.9,149.23076923076923,68.0,79.0,131.0,108.0
1981-03-06,89,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,6,78.0,115.36666666666666,149.30769230769232,56.0,103.0,135.0,79.0
1981-03-07,79,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,7,76.57142857142857,113.5,149.24175824175825,89.0,89.0,135.0,89.0
1981-03-08,79,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,8,78.57142857142857,112.26666666666667,149.12087912087912,79.0,65.0,116.0,105.0
1981-03-09,108,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,9,83.85714285714286,110.66666666666667,148.76923076923077,79.0,71.0,156.0,105.0
1981-03-10,114,Unhealthy for Sensitive Groups,NO2,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,10,84.71428571428571,110.86666666666666,148.34065934065933,108.0,108.0,108.0,106.0
1981-03-11,114,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,11,91.28571428571429,112.36666666666666,147.0879120879121,114.0,68.0,69.0,89.0
1981-03-12,105,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,12,98.28571428571429,113.2,145.6043956043956,114.0,56.0,80.0,100.0
1981-03-13,57,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,13,93.71428571428571,111.6,143.4835164835165,105.0,89.0,105.0,150.0
1981-03-14,89,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,14,95.14285714285714,110.76666666666667,141.57142857142858,57.0,79.0,114.0,154.0
1981-03-15,103,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,15,98.57142857142857,110.46666666666667,140.1978021978022,89.0,79.0,112.0,156.0
1981-03-16,110,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,16,98.85714285714286,108.46666666666667,138.84615384615384,103.0,108.0,170.0,143.0
1981-03-17,120,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,17,99.71428571428571,108.66666666666667,137.47252747252747,110.0,114.0,114.0,108.0
1981-03-18,106,Unhealthy for Sensitive Groups,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,18,98.57142857142857,107.76666666666667,135.9120879120879,120.0,114.0,133.0,89.0
1981-03-19,89,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,19,96.28571428571429,106.06666666666666,135.3956043956044,106.0,105.0,140.0,123.0
1981-03-20,47,Good,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,20,94.85714285714286,100.76666666666667,133.71428571428572,89.0,57.0,206.0,143.0
1981-03-21,57,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,21,90.28571428571429,95.06666666666666,131.97802197802199,47.0,89.0,228.0,94.0
1981-03-22,57,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,22,83.71428571428571,91.16666666666667,130.13186813186815,57.0,103.0,174.0,100.0
1981-03-23,100,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,23,82.28571428571429,88.63333333333334,129.1978021978022,57.0,110.0,176.0,93.0
1981-03-24,169,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,24,89.28571428571429,90.83333333333333,128.43956043956044,100.0,120.0,103.0,100.0
1981-03-25,133,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,25,93.14285714285714,91.06666666666666,127.26373626373626,169.0,106.0,126.0,95.0
1981-03-26,47,Good,NO2,18,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,26,87.14285714285714,89.3,125.24175824175825,133.0,89.0,100.0,109.0
1981-03-27,89,Moderate,NO2,18,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,27,93.14285714285714,90.0,124.47252747252747,47.0,47.0,68.0,105.0
1981-03-28,68,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,28,94.71428571428571,89.63333333333334,122.97802197802197,89.0,57.0,79.0,151.0
1981-03-29,79,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,29,97.85714285714286,88.83333333333333,121.64835164835165,68.0,57.0,103.0,156.0
1981-03-30,79,Moderate,NO2,19,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,30,94.85714285714286,88.5,120.05494505494505,79.0,100.0,89.0,156.0
1981-03-31,154,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,3,31,92.71428571428571,91.46666666666667,119.46153846153847,79.0,169.0,65.0,89.0
1981-04-01,133,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,1,92.71428571428571,93.53333333333333,118.7032967032967,154.0,133.0,71.0,57.0
1981-04-02,58,Moderate,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,2,94.28571428571429,91.86666666666666,116.32967032967034,133.0,47.0,108.0,100.0
1981-04-03,79,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,3,92.85714285714286,92.23333333333333,115.87912087912088,58.0,89.0,68.0,105.0
1981-04-04,143,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,4,103.57142857142857,95.13333333333334,116.24175824175825,79.0,68.0,56.0,156.0
1981-04-05,101,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,5,106.71428571428571,95.53333333333333,116.05494505494505,143.0,79.0,89.0,85.0
1981-04-06,190,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,6,122.57142857142857,99.23333333333333,115.6923076923077,101.0,79.0,79.0,77.0
1981-04-07,108,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,7,116.0,100.2,114.3076923076923,190.0,154.0,79.0,166.0
1981-04-08,108,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,8,112.42857142857143,100.2,113.31868131868131,108.0,133.0,108.0,136.0
1981-04-09,216,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,9,135.0,103.6,114.13186813186813,108.0,58.0,114.0,140.0
1981-04-10,115,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,10,140.14285714285714,103.63333333333334,113.10989010989012,216.0,79.0,114.0,205.0
1981-04-11,136,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,11,139.14285714285714,104.66666666666667,112.07692307692308,115.0,143.0,105.0,157.0
1981-04-12,210,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,12,154.71428571428572,109.76666666666667,113.1978021978022,136.0,101.0,57.0,143.0
1981-04-13,200,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,13,156.14285714285714,113.46666666666667,114.17582417582418,210.0,190.0,89.0,169.0
1981-04-14,226,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,14,173.0,117.56666666666666,115.43956043956044,200.0,108.0,103.0,207.0
1981-04-15,195,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,15,185.42857142857142,120.4,116.20879120879121,226.0,108.0,110.0,237.0
1981-04-16,200,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,16,183.14285714285714,123.06666666666666,116.86813186813187,195.0,216.0,120.0,269.0
1981-04-17,222,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,17,198.42857142857142,126.93333333333334,118.05494505494505,200.0,115.0,106.0,289.0
1981-04-18,71,Moderate,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,18,189.14285714285714,126.33333333333333,117.17582417582418,222.0,136.0,89.0,275.0
1981-04-19,57,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,19,167.28571428571428,126.66666666666667,116.26373626373626,71.0,210.0,47.0,297.0
1981-04-20,68,Moderate,NO2,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,20,148.42857142857142,127.03333333333333,115.63736263736264,57.0,200.0,57.0,150.0
1981-04-21,156,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,21,138.42857142857142,130.33333333333334,116.1978021978022,68.0,226.0,57.0,57.0
1981-04-22,227,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,22,143.0,134.56666666666666,116.25274725274726,156.0,195.0,100.0,68.0
1981-04-23,243,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,23,149.14285714285714,137.03333333333333,116.3956043956044,227.0,200.0,169.0,89.0
1981-04-24,182,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,24,143.42857142857142,138.66666666666666,117.52747252747253,243.0,222.0,133.0,103.0
1981-04-25,235,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,25,166.85714285714286,144.93333333333334,119.24175824175825,182.0,71.0,47.0,177.0
1981-04-26,119,Unhealthy for Sensitive Groups,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,26,175.71428571428572,145.93333333333334,119.3956043956044,235.0,57.0,89.0,205.0
1981-04-27,161,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,27,189.0,149.03333333333333,120.0,119.0,68.0,68.0,126.0
1981-04-28,190,Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,28,193.85714285714286,152.73333333333332,121.0,161.0,156.0,79.0,82.0
1981-04-29,217,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,29,192.42857142857142,157.33333333333334,122.61538461538461,190.0,227.0,79.0,89.0
1981-04-30,218,Very Unhealthy,Ozone,20,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,4,30,188.85714285714286,159.46666666666667,124.02197802197803,217.0,243.0,154.0,57.0
1981-05-01,201,Very Unhealthy,Ozone,21,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,5,1,191.57142857142858,161.73333333333332,125.13186813186813,218.0,182.0,133.0,89.0
1981-05-02,219,Very Unhealthy,Ozone,21,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,5,2,189.28571428571428,167.1,126.63736263736264,201.0,235.0,58.0,126.0
1981-05-03,150,Unhealthy for Sensitive Groups,Ozone,21,Los Angeles,California,34.1141,-118.4068,12531334.0,3267.0,America/Los_Angeles,1981,5,3,193.71428571428572,169.46666666666667,127.0989010989011,219.0,119.0,79.0,205.0
